staffing_snapshot_id,store_id,recorded_at,pickers_scheduled,pickers_available,packers_scheduled,packers_available
STAFF-0000422,STR-018,15-08-2026 13:00,5,4,2,2
STAFF-0000423,STR-018,15-08-2026 14:00,3,3,2,2
STAFF-0000424,STR-018,15-08-2026 15:00,3,3,2,2
STAFF-0000425,STR-018,15-08-2026 16:00,3,3,2,2
STAFF-0000426,STR-018,15-08-2026 17:00,5,5,2,2
STAFF-0000427,STR-018,15-08-2026 18:00,5,4,2,2
STAFF-0000428,STR-018,15-08-2026 19:00,5,4,2,2
STAFF-0000429,STR-018,15-08-2026 20:00,5,5,2,2
STAFF-0000430,STR-018,15-08-2026 21:00,5,4,2,2
STAFF-0000431,STR-018,15-08-2026 22:00,3,3,2,2
STAFF-0000432,STR-018,15-08-2026 23:00,3,3,2,2
STAFF-0000433,STR-019,15-08-2026 00:00,4,4,2,2
STAFF-0000434,STR-019,15-08-2026 01:00,4,4,2,2
STAFF-0000435,STR-019,15-08-2026 02:00,4,4,2,2
STAFF-0000436,STR-019,15-08-2026 03:00,4,3,2,2
STAFF-0000437,STR-019,15-08-2026 04:00,4,4,2,1
STAFF-0000438,STR-019,15-08-2026 05:00,4,4,2,2
STAFF-0000439,STR-019,15-08-2026 06:00,4,4,2,2
STAFF-0000440,STR-019,15-08-2026 07:00,5,4,3,3
STAFF-0000441,STR-019,15-08-2026 08:00,5,5,3,3
STAFF-0000442,STR-019,15-08-2026 09:00,5,5,3,3
STAFF-0000443,STR-019,15-08-2026 10:00,5,5,3,3
STAFF-0000444,STR-019,15-08-2026 11:00,6,6,4,4
STAFF-0000445,STR-019,15-08-2026 12:00,6,6,4,4
STAFF-0000446,STR-019,15-08-2026 13:00,6,6,4,4
STAFF-0000447,STR-019,15-08-2026 14:00,4,4,2,2
STAFF-0000448,STR-019,15-08-2026 15:00,4,4,2,2
STAFF-0000449,STR-019,15-08-2026 16:00,4,4,2,2
STAFF-0000450,STR-019,15-08-2026 17:00,6,6,4,4
STAFF-0000451,STR-019,15-08-2026 18:00,6,6,4,4
STAFF-0000452,STR-019,15-08-2026 19:00,6,5,4,4
STAFF-0000453,STR-019,15-08-2026 20:00,6,6,4,4
STAFF-0000454,STR-019,15-08-2026 21:00,6,6,4,3
STAFF-0000455,STR-019,15-08-2026 22:00,4,4,2,2
STAFF-0000456,STR-019,15-08-2026 23:00,4,4,2,2
STAFF-0000457,STR-020,15-08-2026 00:00,3,3,2,2
STAFF-0000458,STR-020,15-08-2026 01:00,3,2,2,2
STAFF-0000459,STR-020,15-08-2026 02:00,3,3,2,2
STAFF-0000460,STR-020,15-08-2026 03:00,3,3,2,2
STAFF-0000461,STR-020,15-08-2026 04:00,3,3,2,2
STAFF-0000462,STR-020,15-08-2026 05:00,3,3,2,2
STAFF-0000463,STR-020,15-08-2026 06:00,3,3,2,2
STAFF-0000464,STR-020,15-08-2026 07:00,4,4,3,3
STAFF-0000465,STR-020,15-08-2026 08:00,4,4,3,2
STAFF-0000466,STR-020,15-08-2026 09:00,4,4,3,3
STAFF-0000467,STR-020,15-08-2026 10:00,4,2,3,3
STAFF-0000468,STR-020,15-08-2026 11:00,5,3,4,4
STAFF-0000469,STR-020,15-08-2026 12:00,5,5,4,4
STAFF-0000470,STR-020,15-08-2026 13:00,5,5,4,4
STAFF-0000471,STR-020,15-08-2026 14:00,3,2,2,2
STAFF-0000472,STR-020,15-08-2026 15:00,3,3,2,2
STAFF-0000473,STR-020,15-08-2026 16:00,3,3,2,2
STAFF-0000474,STR-020,15-08-2026 17:00,5,5,4,3
STAFF-0000475,STR-020,15-08-2026 18:00,5,5,4,4
STAFF-0000476,STR-020,15-08-2026 19:00,5,4,4,2
STAFF-0000477,STR-020,15-08-2026 20:00,5,3,4,4
STAFF-0000478,STR-020,15-08-2026 21:00,5,5,4,4
STAFF-0000479,STR-020,15-08-2026 22:00,3,3,2,2
STAFF-0000480,STR-020,15-08-2026 23:00,3,3,2,2
